iter	RMSE
0	19793101.75
1	18825265.47
2	17997911.35
3	17336492.59
4	16682618.72
5	16134624.11
6	15667085.15
7	15205767.64
8	14778225.29
9	14347755.22
10	14045065.87
11	13705443.26
12	13444393.85
13	13168040.09
14	12912274.69
15	12697201.49
16	12506247.54
17	12327994.89
18	12148089.89
19	11966868.56
20	11830236.16
21	11670860.64
22	11545491.7
23	11450013.01
24	11347623.78
25	11215761.15
26	11105132.03
27	10994286.06
28	10906064.79
29	10823888.03
30	10724017.26
31	10664899.52
32	10621168.98
33	10531819.86
34	10465665.33
35	10392199.4
36	10342404.87
37	10282758.96
38	10213112.31
39	10167239.55
40	10103827.15
41	10058804.28
42	9987391.609
43	9935784.055
44	9852631.954
45	9820971.613
46	9752059.682
47	9710206.706
48	9652088.524
49	9622937.52
50	9561465.3
51	9499728.423
52	9471150.229
53	9446699.063
54	9408378.411
55	9367933.843
56	9335802.616
57	9304365.568
58	9254584.658
59	9192703.927
60	9132358.719
61	9111431.961
62	9057861.785
63	9019332.641
64	8990354.909
65	8958987.832
66	8911033.594
67	8885299.48
68	8860292.639
69	8823464.434
70	8802331.282
71	8767691.957
72	8748787.812
73	8710381.918
74	8683546.447
75	8638741.481
76	8599146.262
77	8564690.492
78	8525322.416
79	8506093.735
80	8453225.993
81	8422485.792
82	8395032.249
83	8365864.126
84	8309429.855
85	8284961.411
86	8253516.852
87	8238444.44
88	8230335.986
89	8172138.882
90	8139359.09
91	8115841.073
92	8082314.986
93	8058477.242
94	8041075.58
95	8021018.234
96	7993095.896
97	7944354.828
98	7929272.982
99	7892779.154
100	7876585.072
101	7829510.269
102	7821304.71
103	7808362.946
104	7767606.997
105	7760198.201
106	7733349.808
107	7691472.334
108	7683675.468
109	7658882.192
110	7626941.78
111	7619813.213
112	7594700.219
113	7573480.728
114	7556225.42
115	7538087.635
116	7519476.846
117	7504717.192
118	7495652.968
119	7464227.423
120	7445887.239
121	7430362.63
122	7410147.921
123	7392621.348
124	7388234.198
125	7379582.043
126	7361885.938
127	7316993.022
128	7283667.929
129	7278361.65
130	7261910.781
131	7242061.57
132	7213733.174
133	7188031.639
134	7172868.18
135	7164813.697
136	7153823.882
137	7150431.753
138	7129429.04
139	7103671.116
140	7090665.94
141	7085911.47
142	7059718.062
143	7021613.082
144	7004254.2
145	6989079.336
146	6973071.645
147	6943995.89
148	6929179.907
149	6913802.207
150	6899670.836
151	6874395.228
152	6869578.242
153	6842693.434
154	6834559.298
155	6804094.89
156	6790051.444
157	6765410.576
158	6742825.232
159	6729284.004
160	6724892.126
161	6718346.785
162	6715636.084
163	6695508.99
164	6684156.768
165	6665757.622
166	6660270.159
167	6651490.006
168	6648849.498
169	6625484.664
170	6619003.463
171	6606432.742
172	6594994.691
173	6590510.286
174	6570491.973
175	6549521.273
176	6537784.819
177	6528820.004
178	6515885.897
179	6500516.303
180	6485155.932
181	6477553.586
182	6460687.802
183	6445169.175
184	6426875.034
185	6426085.149
186	6416471.15
187	6406247.335
188	6393358.137
189	6392252.085
190	6374162.53
191	6359019.999
192	6354284.044
193	6344342.176
194	6331874.15
195	6331115.764
196	6315387.502
197	6305969.949
198	6289392.158
199	6274268.717
200	6264800.906
201	6258543.609
202	6250621.353
203	6241454.733
204	6223516.946
205	6209786.646
206	6194306.713
207	6178275.334
208	6176340.943
209	6175546.526
210	6156475.65
211	6152233.267
212	6138464.579
213	6122615.225
214	6114844.248
215	6114256.457
216	6100916.846
217	6086761.767
218	6082931.402
219	6074517.681
220	6066881.512
221	6055436.443
222	6042416.289
223	6035969.769
224	6025228.922
225	6024647.897
226	6013635.05
227	5995558.306
228	5981933.874
229	5980903.983
230	5971204.867
231	5965468.304
232	5950922.9
233	5940708.707
234	5925034.876
235	5916319.283
236	5896087.365
237	5879742.513
238	5869305.597
239	5863180.595
240	5849110.686
241	5838692.991
242	5822450.834
243	5806507.085
244	5801463.269
245	5788700.009
246	5783735.138
247	5768416.58
248	5756171.182
249	5755679.688
250	5748490.032
251	5734943.119
252	5726276.409
253	5714841.574
