iter	Passed	Remaining
0	2	2483
1	4	2255
2	7	2337
3	9	2485
4	12	2421
5	14	2419
6	16	2406
7	19	2393
8	21	2351
9	23	2341
10	25	2308
11	28	2312
12	30	2310
13	32	2286
14	34	2247
15	35	2205
16	37	2180
17	39	2159
18	41	2145
19	43	2124
20	45	2105
21	46	2084
22	48	2059
23	50	2042
24	51	2024
25	53	2015
26	55	2008
27	57	2001
28	59	1998
29	61	1997
30	63	1986
31	65	1975
32	66	1961
33	68	1958
34	71	1971
35	73	1973
36	75	1973
37	77	1971
38	79	1961
39	81	1951
40	83	1943
41	85	1944
42	87	1945
43	89	1943
44	91	1939
45	93	1937
46	95	1938
47	97	1931
48	99	1926
49	100	1917
50	102	1911
51	104	1909
52	106	1904
53	108	1898
54	110	1891
55	111	1887
56	113	1884
57	115	1879
58	117	1874
59	119	1869
60	121	1870
61	123	1869
62	125	1868
63	127	1864
64	129	1861
65	131	1858
66	133	1853
67	134	1848
68	137	1850
69	139	1847
70	140	1842
71	142	1838
72	144	1836
73	146	1834
74	148	1828
75	149	1822
76	151	1820
77	154	1820
78	155	1817
79	157	1811
80	159	1808
81	161	1806
82	163	1806
83	165	1802
84	167	1800
85	169	1801
86	171	1799
87	173	1796
88	174	1788
89	176	1786
90	178	1782
91	180	1779
92	182	1775
93	183	1772
94	185	1770
95	187	1767
96	189	1763
97	191	1762
98	193	1758
99	195	1755
100	196	1749
101	198	1748
102	200	1743
103	202	1741
104	204	1740
105	206	1737
106	208	1736
107	210	1735
108	211	1730
109	213	1729
110	215	1727
111	217	1726
112	219	1726
113	221	1724
114	223	1720
115	225	1716
116	227	1713
117	228	1708
118	230	1705
119	232	1704
120	234	1702
121	236	1704
122	238	1702
123	240	1698
124	242	1694
125	243	1691
126	245	1687
127	247	1684
128	249	1683
129	251	1680
130	252	1677
131	254	1674
132	256	1670
133	258	1667
134	259	1664
135	261	1660
136	263	1658
137	265	1655
138	266	1652
139	268	1651
140	270	1648
141	272	1645
142	274	1642
143	275	1639
144	277	1636
145	279	1633
146	281	1633
147	283	1631
148	285	1629
149	286	1626
150	288	1622
151	290	1620
152	292	1617
153	294	1615
154	295	1612
155	298	1613
156	300	1613
157	302	1611
158	304	1609
159	306	1606
160	307	1604
161	309	1601
162	311	1601
163	314	1603
164	316	1600
165	318	1597
166	319	1594
167	321	1590
168	322	1588
169	325	1586
170	326	1584
171	329	1584
172	331	1584
173	333	1582
174	335	1580
175	337	1578
176	338	1575
177	340	1573
178	342	1571
179	344	1569
180	346	1567
181	348	1564
182	349	1562
183	351	1559
184	353	1557
185	355	1554
186	357	1552
187	359	1550
188	361	1549
189	362	1547
190	364	1545
191	366	1543
192	368	1540
193	370	1539
194	372	1536
195	373	1533
196	375	1531
197	377	1530
198	379	1527
199	381	1524
200	383	1522
201	384	1520
202	386	1519
203	389	1519
204	391	1519
205	393	1518
206	395	1516
207	397	1513
208	399	1511
209	400	1508
210	402	1506
211	404	1503
212	406	1501
213	408	1499
214	410	1497
215	411	1494
216	413	1492
217	415	1489
218	417	1487
219	418	1485
220	420	1483
221	422	1481
222	424	1479
223	426	1477
224	428	1475
225	430	1473
226	432	1471
227	434	1469
228	435	1467
229	437	1465
230	439	1462
231	441	1460
232	443	1458
233	444	1456
234	446	1454
235	448	1452
236	450	1450
237	452	1448
238	454	1446
239	456	1445
240	458	1442
241	460	1440
242	461	1439
243	463	1436
244	465	1433
245	467	1431
246	468	1428
247	470	1426
248	472	1425
249	474	1423
250	476	1421
251	478	1419
252	480	1418
253	482	1416
254	483	1413
255	485	1411
256	487	1408
257	489	1407
258	491	1405
259	493	1403
260	494	1400
261	496	1398
262	498	1396
263	500	1394
264	501	1391
265	503	1389
266	505	1388
267	507	1387
268	509	1384
269	511	1383
270	513	1380
271	514	1378
272	516	1376
273	518	1373
274	520	1371
275	522	1370
276	524	1369
277	526	1367
278	528	1365
279	530	1363
280	532	1361
281	533	1359
282	535	1357
283	538	1356
284	540	1355
285	542	1353
286	543	1351
287	545	1348
288	547	1346
289	549	1344
290	551	1342
291	553	1341
292	555	1339
293	557	1337
294	559	1336
295	560	1334
296	562	1331
297	564	1329
298	566	1327
299	568	1325
300	570	1324
301	572	1322
302	573	1320
303	575	1318
304	577	1315
305	579	1313
306	580	1311
307	582	1309
308	584	1307
309	586	1306
310	588	1303
311	590	1301
312	592	1299
313	593	1297
314	595	1295
315	597	1293
316	599	1291
317	601	1289
318	603	1287
319	605	1285
320	606	1283
321	608	1281
322	610	1279
323	612	1276
324	613	1275
325	615	1273
326	617	1271
327	619	1269
328	621	1267
329	623	1266
330	625	1263
331	627	1262
332	629	1261
333	631	1259
334	633	1257
335	635	1256
336	637	1254
337	639	1252
338	641	1250
339	643	1248
340	645	1246
341	646	1244
342	648	1242
343	650	1240
344	651	1237
345	653	1235
346	655	1233
347	657	1231
348	658	1229
349	660	1227
350	662	1225
351	664	1223
352	666	1221
353	668	1219
354	670	1217
355	671	1215
356	673	1213
357	675	1211
358	677	1209
359	679	1207
360	681	1205
361	683	1203
362	684	1201
363	686	1199
364	688	1197
365	690	1196
366	692	1194
367	694	1192
368	696	1190
369	698	1188
370	700	1186
371	701	1184
372	703	1182
373	705	1180
374	707	1178
375	708	1176
376	710	1174
377	712	1172
378	714	1170
379	716	1168
380	717	1166
381	719	1164
382	721	1162
383	723	1160
384	725	1158
385	726	1155
386	728	1154
387	731	1153
388	733	1152
389	735	1150
390	737	1148
391	739	1146
392	740	1144
393	742	1142
394	744	1140
395	746	1139
396	749	1137
397	751	1136
398	753	1135
399	755	1133
400	757	1131
401	759	1129
402	761	1127
403	763	1126
404	766	1125
405	768	1124
406	770	1123
407	772	1121
408	774	1119
409	776	1117
410	778	1115
411	780	1113
412	782	1112
413	784	1110
414	786	1109
415	788	1107
416	790	1105
417	792	1103
418	794	1101
419	796	1099
420	797	1097
421	800	1095
422	802	1094
423	804	1092
424	805	1090
425	807	1087
426	809	1086
427	811	1084
428	813	1082
429	815	1081
430	817	1079
431	819	1077
432	821	1075
433	823	1073
434	825	1072
435	827	1070
436	829	1068
437	832	1067
438	834	1066
439	836	1064
440	838	1063
441	841	1062
442	843	1060
443	845	1059
444	848	1057
445	851	1057
446	853	1055
447	855	1053
448	857	1052
449	859	1050
450	861	1049
451	864	1047
452	866	1046
453	868	1044
454	870	1042
455	872	1040
456	874	1039
457	876	1037
458	879	1036
459	881	1035
460	883	1033
461	886	1032
462	888	1030
463	890	1028
464	892	1027
465	894	1025
466	897	1024
467	899	1022
468	901	1020
469	903	1019
470	906	1017
471	908	1015
472	910	1013
473	912	1012
474	913	1010
475	915	1008
476	917	1005
477	919	1003
478	921	1001
479	922	999
480	924	997
481	926	995
482	928	994
483	930	992
484	932	990
485	934	988
486	936	986
487	938	984
488	939	982
489	941	980
490	944	978
491	946	977
492	948	975
493	950	973
494	952	972
495	954	970
496	956	968
497	959	967
498	961	965
499	963	963
500	965	961
501	967	959
502	969	957
503	971	955
504	973	953
505	975	952
506	977	950
507	979	948
508	980	946
509	982	944
510	984	942
511	986	940
512	988	938
513	991	937
514	993	935
515	995	933
516	997	932
517	999	930
518	1001	928
519	1003	926
520	1005	924
521	1007	922
522	1009	920
523	1011	918
524	1013	916
525	1015	914
526	1017	912
527	1019	911
528	1021	909
529	1023	907
530	1025	905
531	1029	905
532	1032	904
533	1036	904
534	1038	902
535	1041	901
536	1043	899
537	1046	898
538	1049	897
539	1052	896
540	1055	895
541	1058	894
542	1060	892
543	1063	891
544	1066	890
545	1068	888
546	1071	887
547	1073	885
548	1075	883
549	1077	881
550	1083	882
551	1085	881
552	1088	879
553	1090	877
554	1092	875
555	1093	873
556	1095	871
557	1097	869
558	1099	867
559	1101	865
560	1103	863
561	1105	861
562	1107	859
563	1108	857
564	1111	855
565	1113	853
566	1114	851
567	1116	849
568	1119	848
569	1121	845
570	1123	844
571	1125	842
572	1127	840
573	1129	837
574	1130	835
575	1132	833
576	1134	832
577	1136	829
578	1138	827
579	1140	825
580	1142	823
581	1144	821
582	1146	819
583	1148	817
584	1150	815
585	1152	813
586	1153	811
587	1155	809
588	1157	807
589	1159	805
590	1161	803
591	1163	801
592	1165	799
593	1166	797
594	1168	795
595	1170	793
596	1172	791
597	1174	789
598	1176	787
599	1178	785
600	1180	783
601	1182	781
602	1184	779
603	1186	777
604	1188	775
605	1190	773
606	1191	771
607	1193	769
608	1195	767
609	1196	765
610	1198	763
611	1200	761
612	1202	759
613	1205	757
614	1206	755
615	1208	753
616	1210	751
617	1212	749
618	1214	747
619	1216	745
620	1217	743
621	1219	741
622	1221	739
623	1223	737
624	1225	735
625	1227	733
626	1228	731
627	1231	729
628	1233	727
629	1235	725
630	1237	723
631	1239	721
632	1241	719
633	1242	717
634	1245	715
635	1247	713
636	1249	711
637	1250	709
638	1252	707
639	1254	705
640	1256	703
641	1258	701
642	1260	700
643	1262	698
644	1265	696
645	1266	694
646	1268	692
647	1271	690
648	1273	688
649	1275	686
650	1277	684
651	1279	682
652	1281	680
653	1283	678
654	1284	676
655	1286	674
656	1289	672
657	1290	671
658	1292	669
659	1294	666
660	1296	664
661	1298	662
662	1299	660
663	1302	658
664	1304	657
665	1306	655
666	1308	653
667	1310	651
668	1312	649
669	1314	647
670	1315	645
671	1317	643
672	1320	641
673	1322	639
674	1324	637
675	1326	635
676	1328	633
677	1330	631
678	1332	629
679	1334	628
680	1336	626
681	1338	624
682	1340	622
683	1342	620
684	1344	618
685	1346	616
686	1347	614
687	1350	612
688	1351	610
689	1353	608
690	1355	606
691	1357	604
692	1359	602
693	1361	600
694	1363	598
695	1365	596
696	1367	594
697	1369	592
698	1370	590
699	1373	588
700	1375	586
701	1376	584
702	1378	582
703	1380	580
704	1382	578
705	1384	576
706	1385	574
707	1387	572
708	1389	570
709	1391	568
710	1393	566
711	1395	564
712	1397	562
713	1399	560
714	1401	558
715	1402	556
716	1404	554
717	1406	552
718	1408	550
719	1410	548
720	1412	546
721	1414	544
722	1415	542
723	1417	540
724	1419	538
725	1421	536
726	1423	534
727	1425	532
728	1427	530
729	1429	528
730	1431	526
731	1432	524
732	1434	522
733	1437	520
734	1438	518
735	1440	516
736	1442	514
737	1444	512
738	1446	510
739	1448	508
740	1450	506
741	1452	504
742	1454	503
743	1456	501
744	1459	499
745	1460	497
746	1463	495
747	1464	493
748	1466	491
749	1468	489
750	1470	487
751	1472	485
752	1474	483
753	1476	481
754	1478	479
755	1480	477
756	1482	475
757	1484	474
758	1487	472
759	1489	470
760	1490	468
761	1492	466
762	1495	464
763	1497	462
764	1499	460
765	1501	458
766	1502	456
767	1504	454
768	1506	452
769	1508	450
770	1510	448
771	1512	446
772	1514	444
773	1516	442
774	1518	440
775	1520	438
776	1521	436
777	1523	434
778	1525	432
779	1528	431
780	1530	429
781	1532	427
782	1534	425
783	1536	423
784	1537	421
785	1539	419
786	1541	417
787	1543	415
788	1546	413
789	1548	411
790	1550	409
791	1552	407
792	1553	405
793	1555	403
794	1557	401
795	1560	399
796	1562	397
797	1564	396
798	1566	394
799	1568	392
800	1569	390
801	1571	388
802	1573	386
